Reference,Value,Quantity,Manf Part #,Digikey Part #,1,10,100,1000,Qty Avail,Link
"R4,R5",100K,2,ERJ-6GEYJ104V,P100KACT-ND,0.1,0.025,0.01,0.00451,523146,http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=P100KACT-ND
U1,Si7006,1,SI7006-A20-IM,336-3124-ND,2.08,2.08,1.7372,1.56551,2158,http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=336-3124-ND
R7,10K,1,C0805JR-0710KL,311-10KARCT-ND,0.1,0.016,0.0066,0.00297,2775278,http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=311-10KARCT-ND
C2,1u,1,TMK212BJ105KG-T,587-1291-1-ND,0.16,0.115,0.0541,0.03139,231010,http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=587-1291-1-ND
C1,.1u,1,CL21F104ZBCNNNC,1276-1007-1-ND,0.1,0.029,0.0128,0.00718,1016710,http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=1276-1007-1-ND
U2,CCS811,1,CCS811CT-ND,CCS811CT-ND,12.76,10.073,7.1632,7.1632,,http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=CCS811CT-ND
"R1,R2,R3",4K7,3,RC0805FR-074K7L,311-4.70KCRCT-ND,0.1,0.019,0.0077,0.00345,2362052,http://www.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&keywords=311-4.70KCRCT-ND
