5,3/23/2017,12:41:53
6,3/23/2017,12:42:6
0,3/23/2017,12:43:53,23.70,72.10,352
5,3/23/2017,12:43:53
6,3/23/2017,12:44:6
0,3/23/2017,12:45:53,23.70,71.70,359
5,3/23/2017,12:45:53
6,3/23/2017,12:46:6
0,3/23/2017,12:47:53,23.70,72.70,349
5,3/23/2017,12:47:53
6,3/23/2017,12:48:6
0,3/23/2017,12:49:53,23.70,73.00,362
5,3/23/2017,12:49:53
6,3/23/2017,12:50:6
1,3/23/2017,12:50:49
2,3/23/2017,12:51:49,174.53
0,3/23/2017,12:51:53,23.70,72.30,359
5,3/23/2017,12:51:53
6,3/23/2017,12:52:6
0,3/23/2017,12:53:53,23.70,72.30,357
5,3/23/2017,12:53:53
6,3/23/2017,12:54:6
0,3/23/2017,12:55:53,23.70,72.90,362
5,3/23/2017,12:55:53
6,3/23/2017,12:56:6
0,3/23/2017,12:57:53,23.70,72.00,351
5,3/23/2017,12:57:53
6,3/23/2017,12:58:6
0,3/23/2017,12:59:53,23.70,72.20,354
5,3/23/2017,12:59:53
6,3/23/2017,13:0:6
0,3/23/2017,13:1:53,23.70,72.80,356
5,3/23/2017,13:1:53
6,3/23/2017,13:2:6
0,3/23/2017,13:3:53,23.70,72.80,356
5,3/23/2017,13:3:53
6,3/23/2017,13:4:6
1,3/23/2017,13:5:49
0,3/23/2017,13:5:53,23.80,72.90,352
5,3/23/2017,13:5:53
6,3/23/2017,13:6:6
2,3/23/2017,13:6:49,176.13
0,3/23/2017,13:7:53,23.80,73.10,360
5,3/23/2017,13:7:53
6,3/23/2017,13:8:6
0,3/23/2017,13:9:53,23.80,72.40,348
5,3/23/2017,13:9:53
6,3/23/2017,13:10:6
0,3/23/2017,13:11:53,23.80,72.70,344
5,3/23/2017,13:11:53
6,3/23/2017,13:12:6
0,3/23/2017,13:13:53,23.80,73.20,350
5,3/23/2017,13:13:53
6,3/23/2017,13:14:6
0,3/23/2017,13:15:53,23.80,72.10,344
5,3/23/2017,13:15:53
6,3/23/2017,13:16:6
0,3/23/2017,13:17:53,23.80,72.60,349
5,3/23/2017,13:17:53
6,3/23/2017,13:18:6
0,3/23/2017,13:19:53,23.80,72.80,347
5,3/23/2017,13:19:53
6,3/23/2017,13:20:6
1,3/23/2017,13:20:49
2,3/23/2017,13:21:49,172.53
0,3/23/2017,13:21:53,23.90,73.30,342
5,3/23/2017,13:21:53
6,3/23/2017,13:22:6
0,3/23/2017,13:23:53,23.90,72.50,351
5,3/23/2017,13:23:53
6,3/23/2017,13:24:6
0,3/23/2017,13:25:53,23.90,72.30,353
5,3/23/2017,13:25:53
6,3/23/2017,13:26:6
0,3/23/2017,13:27:53,23.90,73.50,346
5,3/23/2017,13:27:53
6,3/23/2017,13:28:6
0,3/23/2017,13:29:53,23.90,72.70,363
5,3/23/2017,13:29:53
6,3/23/2017,13:30:6
0,3/23/2017,13:31:53,24.00,73.50,371
5,3/23/2017,13:31:53
6,3/23/2017,13:32:6
0,3/23/2017,13:33:53,24.00,73.00,359
5,3/23/2017,13:33:53
6,3/23/2017,13:34:6
1,3/23/2017,13:35:49
0,3/23/2017,13:35:53,24.00,73.50,365
5,3/23/2017,13:35:53
6,3/23/2017,13:36:6
2,3/23/2017,13:36:49,177.20
0,3/23/2017,13:37:53,24.00,73.20,364
5,3/23/2017,13:37:53
6,3/23/2017,13:38:6
0,3/23/2017,13:39:53,24.00,73.60,363
5,3/23/2017,13:39:53
