0,3/4/2017,6:24:11,28.9,33.5,1069
5,3/4/2017,6:24:11,,,
6,3/4/2017,6:24:19,,,
0,3/4/2017,6:26:11,29,33.4,1310
0,3/4/2017,6:28:11,29,33.4,1053
5,3/4/2017,6:28:11,,,
6,3/4/2017,6:28:19,,,
0,3/4/2017,6:30:11,29,33.3,1314
0,3/4/2017,6:32:11,29.1,33.2,1069
5,3/4/2017,6:32:11,,,
6,3/4/2017,6:32:19,,,
0,3/4/2017,6:34:11,29.2,33,1297
1,3/4/2017,6:36:10,,,
0,3/4/2017,6:36:11,29.3,33,1045
5,3/4/2017,6:36:11,,,
6,3/4/2017,6:36:19,,,
2,3/4/2017,6:37:10,,,
0,3/4/2017,6:38:11,29.3,32.9,1294
0,3/4/2017,6:40:11,29.3,32.7,1032
5,3/4/2017,6:40:11,,,
6,3/4/2017,6:40:19,,,
0,3/4/2017,6:42:11,29.4,32.6,1292
0,3/4/2017,6:44:11,29.4,32.5,1050
5,3/4/2017,6:44:11,,,
6,3/4/2017,6:44:19,,,
0,3/4/2017,6:46:11,29.4,32.6,1334
0,3/4/2017,6:48:11,29.5,32.5,1088
5,3/4/2017,6:48:11,,,
6,3/4/2017,6:48:19,,,
0,3/4/2017,6:50:11,29.5,32.5,1344
1,3/4/2017,6:51:10,,,
2,3/4/2017,6:52:10,,,
0,3/4/2017,6:52:11,29.7,32.3,1064
5,3/4/2017,6:52:11,,,
6,3/4/2017,6:52:19,,,
0,3/4/2017,6:54:11,29.7,32.3,1297
0,3/4/2017,6:56:11,29.7,32.2,1044
5,3/4/2017,6:56:11,,,
6,3/4/2017,6:56:19,,,
0,3/4/2017,6:58:11,29.6,32.3,1285
0,3/4/2017,7:00:11,29.6,32.3,1051
5,3/4/2017,7:00:11,,,
6,3/4/2017,7:00:19,,,
0,3/4/2017,7:02:11,29.6,32.3,1321
0,3/4/2017,7:04:11,29.6,32.2,1078
5,3/4/2017,7:04:11,,,
6,3/4/2017,7:04:19,,,
1,3/4/2017,7:06:10,,,
0,3/4/2017,7:06:11,29.7,32.2,1319
2,3/4/2017,7:07:10,,,
0,3/4/2017,7:08:11,29.7,32,1050
5,3/4/2017,7:08:11,,,
6,3/4/2017,7:08:19,,,
0,3/4/2017,7:10:11,29.7,32.1,1295
0,3/4/2017,7:12:11,29.7,32.1,1003
5,3/4/2017,7:12:11,,,
6,3/4/2017,7:12:19,,,
0,3/4/2017,7:14:11,29.7,32.2,1257
0,3/4/2017,7:16:11,29.7,32.1,1017
5,3/4/2017,7:16:11,,,
6,3/4/2017,7:16:19,,,
0,3/4/2017,7:18:11,29.6,32.1,1303
0,3/4/2017,7:20:11,29.7,32.1,1061
5,3/4/2017,7:20:11,,,
6,3/4/2017,7:20:19,,,
1,3/4/2017,7:21:10,,,
2,3/4/2017,7:22:10,,,
0,3/4/2017,7:22:11,29.8,32,1297
0,3/4/2017,7:24:11,29.8,32,1030
5,3/4/2017,7:24:11,,,
6,3/4/2017,7:24:19,,,
0,3/4/2017,7:26:11,29.8,32,1280
0,3/4/2017,7:28:11,29.7,32,1014
5,3/4/2017,7:28:11,,,
6,3/4/2017,7:28:19,,,
0,3/4/2017,7:30:11,29.7,32,1259
0,3/4/2017,7:32:11,29.7,32.1,1003
5,3/4/2017,7:32:11,,,
6,3/4/2017,7:32:19,,,
0,3/4/2017,7:34:11,29.6,32,1296
1,3/4/2017,7:36:10,,,
0,3/4/2017,7:36:11,29.7,32,1056
5,3/4/2017,7:36:11,,,
6,3/4/2017,7:36:19,,,
2,3/4/2017,7:37:10,,,
0,3/4/2017,7:38:11,29.7,31.9,1306
0,3/4/2017,7:40:11,29.8,31.9,1050
5,3/4/2017,7:40:11,,,
6,3/4/2017,7:40:19,,,
0,3/4/2017,7:42:11,29.8,31.8,1292
0,3/4/2017,7:44:11,29.8,31.8,1017
5,3/4/2017,7:44:11,,,
6,3/4/2017,7:44:19,,,
0,3/4/2017,7:46:11,29.7,31.9,1275
0,3/4/2017,7:48:11,29.7,31.9,1025
5,3/4/2017,7:48:11,,,
6,3/4/2017,7:48:19,,,
0,3/4/2017,7:50:11,29.6,31.9,1289
1,3/4/2017,7:51:10,,,
2,3/4/2017,7:52:10,,,
0,3/4/2017,7:52:11,29.7,31.6,1035
5,3/4/2017,7:52:11,,,
6,3/4/2017,7:52:19,,,
0,3/4/2017,7:54:11,29.7,31.3,1304
0,3/4/2017,7:56:11,29.8,31,1068
5,3/4/2017,7:56:11,,,
6,3/4/2017,7:56:19,,,
